dni_persona,rango
27084006,Rango 0
51791513,Rango 1
50000909,Rango 2
80082324,Rango 3
83414030,Rango 4
72483535,Rango 0
91318518,Rango 1
16790009,Rango 2
73778272,Rango 3
73262280,Rango 4
18644392,Rango 0
89398603,Rango 1
78313136,Rango 2
64519952,Rango 3
46425584,Rango 4
68088225,Rango 0
45004626,Rango 1
50296631,Rango 2
10021827,Rango 3
20395700,Rango 4
31516341,Rango 0
67122169,Rango 1
79716946,Rango 2
96372579,Rango 3
68732907,Rango 4
96316433,Rango 0
13061831,Rango 1
33376772,Rango 2
34010863,Rango 3
96737638,Rango 4
38199666,Rango 0
20535000,Rango 1
57513752,Rango 2
25272414,Rango 3
55239263,Rango 4
29254348,Rango 0
53279002,Rango 1
26979836,Rango 2
20856514,Rango 3
85689563,Rango 4
62237113,Rango 0
15513740,Rango 1
71697008,Rango 2
88986559,Rango 3
33503248,Rango 4
75346936,Rango 0
59924153,Rango 1
59166745,Rango 2
60189753,Rango 3
11887648,Rango 4
62410486,Rango 0
88267136,Rango 1
54420888,Rango 2
19757780,Rango 3
10958770,Rango 4
99086572,Rango 0
57119006,Rango 1
17706800,Rango 2
91066065,Rango 3
58445113,Rango 4
91939642,Rango 0
75881633,Rango 1
54140967,Rango 2
99585258,Rango 3
62926755,Rango 4
91590710,Rango 0
48175953,Rango 1
97109335,Rango 2
61598587,Rango 3
78275862,Rango 4
32197968,Rango 0
54974399,Rango 1
38428184,Rango 2
82391164,Rango 3
70617057,Rango 4
26245353,Rango 0
87294805,Rango 1
70745781,Rango 2
22705100,Rango 3
45549445,Rango 4
40321222,Rango 0
24488051,Rango 1
18447899,Rango 2
98312304,Rango 3
21613485,Rango 4
22300644,Rango 0
65162031,Rango 1
26873264,Rango 2
68264356,Rango 3
71949414,Rango 4
98720728,Rango 0
52679367,Rango 1
48041682,Rango 2
69369035,Rango 3
58534113,Rango 4
76097954,Rango 0
21820364,Rango 1
50016155,Rango 2
12268472,Rango 3
31709533,Rango 4
99655045,Rango 0
13689272,Rango 1
90527090,Rango 2
39953737,Rango 3
98799590,Rango 4
85475196,Rango 0
90109766,Rango 1
92377727,Rango 2
98273834,Rango 3
50927476,Rango 4
61553374,Rango 0
10581509,Rango 1
55421076,Rango 2
45216774,Rango 3
56460471,Rango 4
36809818,Rango 0
16819888,Rango 1
74766885,Rango 2
88604297,Rango 3
12515168,Rango 4
67124444,Rango 0
12225623,Rango 1
72063446,Rango 2
69633370,Rango 3
82802207,Rango 4
13235511,Rango 0
21966581,Rango 1
75745084,Rango 2
45776637,Rango 3
93429507,Rango 4
35913104,Rango 0
75776488,Rango 1
10113406,Rango 2
50593959,Rango 3
56416232,Rango 4
37119159,Rango 0
51935591,Rango 1
92791663,Rango 2
42077390,Rango 3
39574207,Rango 4
85343792,Rango 0
47418224,Rango 1
26628647,Rango 2
58300542,Rango 3
33580474,Rango 4
72237096,Rango 0
10590127,Rango 1
15499879,Rango 2
61256736,Rango 3
93969192,Rango 4
41524435,Rango 0
39132579,Rango 1
60717255,Rango 2
22528370,Rango 3
20313256,Rango 4
78675727,Rango 0
47668958,Rango 1
95552919,Rango 2
18760900,Rango 3
49493757,Rango 4
33901688,Rango 0
99397475,Rango 1
69715380,Rango 2
66469493,Rango 3
61750736,Rango 4
33378569,Rango 0
14009240,Rango 1
84007960,Rango 2
37325059,Rango 3
81673197,Rango 4
67051480,Rango 0
25633370,Rango 1
34424496,Rango 2
79537089,Rango 3
21222403,Rango 4
79459829,Rango 0
28198116,Rango 1
23630027,Rango 2
48946663,Rango 3
13019104,Rango 4
44093465,Rango 0
88074869,Rango 1
97943628,Rango 2
93435034,Rango 3
32984404,Rango 4
62187231,Rango 0
97179209,Rango 1
54992284,Rango 2
14523814,Rango 3
39132273,Rango 4
95076233,Rango 0
88478636,Rango 1
10976321,Rango 2
91726143,Rango 3
65888259,Rango 4
30738538,Rango 0
49872636,Rango 1
79895425,Rango 2
85276495,Rango 3
74367625,Rango 4
55662653,Rango 0
76383713,Rango 1
34395428,Rango 2
96796729,Rango 3
26116845,Rango 4
13952610,Rango 0
28789010,Rango 1
98376473,Rango 2
85844930,Rango 3
58270516,Rango 4
94335220,Rango 0
58231337,Rango 1
50562517,Rango 2
82656600,Rango 3
31981500,Rango 4
46110876,Rango 0
10201132,Rango 1
28559653,Rango 2
64442852,Rango 3
57639490,Rango 4
42789655,Rango 0
51495402,Rango 1
52719966,Rango 2
43891692,Rango 3
82726170,Rango 4
31058789,Rango 0
53889441,Rango 1
55346300,Rango 2
10578745,Rango 3
41233870,Rango 4
39691793,Rango 0
65507068,Rango 1
84204067,Rango 2
31608690,Rango 3
62137226,Rango 4
87098931,Rango 0
17295704,Rango 1
52484042,Rango 2
81829760,Rango 3
82918662,Rango 4
71765503,Rango 0
74177558,Rango 1
33436899,Rango 2
72283190,Rango 3
67410689,Rango 4
75447188,Rango 0
52959374,Rango 1
99857058,Rango 2
74134802,Rango 3
57919088,Rango 4
96305836,Rango 0
17761906,Rango 1
30162000,Rango 2
56374163,Rango 3
70909699,Rango 4
42860788,Rango 0
49305809,Rango 1
68944090,Rango 2
97268615,Rango 3
90846911,Rango 4
15051275,Rango 0
56490957,Rango 1
51895136,Rango 2
63714990,Rango 3
42606608,Rango 4
74651631,Rango 0
17433095,Rango 1
94953786,Rango 2
42992253,Rango 3
57813443,Rango 4
62897226,Rango 0
75085701,Rango 1
18186482,Rango 2
32983375,Rango 3
76616980,Rango 4
34169438,Rango 0
11742762,Rango 1
19726927,Rango 2
87170589,Rango 3
33483269,Rango 4
30977179,Rango 0
28033519,Rango 1
21871823,Rango 2
78816352,Rango 3
47441820,Rango 4
12470191,Rango 0
35817424,Rango 1
85865394,Rango 2
70055933,Rango 3
76274976,Rango 4
71753582,Rango 0
95871287,Rango 1
41768193,Rango 2
87490283,Rango 3
85742663,Rango 4
22471809,Rango 0
16414857,Rango 1
91807665,Rango 2
82434811,Rango 3
32575230,Rango 4
63116988,Rango 0
82384577,Rango 1
95260777,Rango 2
39135914,Rango 3
51395351,Rango 4
83871625,Rango 0
16358490,Rango 1
18096408,Rango 2
54267554,Rango 3
27559782,Rango 4
89516274,Rango 0
65084017,Rango 1
56137654,Rango 2
89748727,Rango 3
74511789,Rango 4
81644072,Rango 0
68579941,Rango 1
72667370,Rango 2
89884081,Rango 3
78958633,Rango 4
15372408,Rango 0
96400772,Rango 1
41068585,Rango 2
97398595,Rango 3
78959196,Rango 4
23770683,Rango 0
16145873,Rango 1
31744731,Rango 2
40800638,Rango 3
21886227,Rango 4
13893006,Rango 0
93361391,Rango 1
78341449,Rango 2
16189643,Rango 3
79387151,Rango 4
27382120,Rango 0
40071549,Rango 1
37287242,Rango 2
95827378,Rango 3
65139759,Rango 4
44686116,Rango 0
95774692,Rango 1
17731289,Rango 2
76945386,Rango 3
11266087,Rango 4
71627630,Rango 0
97587436,Rango 1
74735542,Rango 2
96986356,Rango 3
27330465,Rango 4
19972697,Rango 0
88843283,Rango 1
48621223,Rango 2
86328995,Rango 3
53409610,Rango 4
42876663,Rango 0
62398234,Rango 1
75914889,Rango 2
76615410,Rango 3
16919060,Rango 4
27145890,Rango 0
80687802,Rango 1
52658136,Rango 2
67648773,Rango 3
28878995,Rango 4
54390415,Rango 0
37749991,Rango 1
59467035,Rango 2
56699311,Rango 3
38279676,Rango 4
32785037,Rango 0
74167674,Rango 1
74073544,Rango 2
39546067,Rango 3
73286639,Rango 4
86165944,Rango 0
52483671,Rango 1
34979755,Rango 2
24454441,Rango 3
58403509,Rango 4
84492703,Rango 0
78295711,Rango 1
29082081,Rango 2
74493514,Rango 3
51416821,Rango 4
11049080,Rango 0
70318336,Rango 1
48665835,Rango 2
70645151,Rango 3
82015888,Rango 4
89861994,Rango 0
29181265,Rango 1
80494430,Rango 2
59742079,Rango 3
23638374,Rango 4
60749070,Rango 0
62491976,Rango 1
69296966,Rango 2
71954661,Rango 3
14354391,Rango 4
79116117,Rango 0
57903231,Rango 1
46044873,Rango 2
11299157,Rango 3
60248523,Rango 4
98591074,Rango 0
81010591,Rango 1
87125340,Rango 2
84381001,Rango 3
13960391,Rango 4
25511160,Rango 0
61622505,Rango 1
56155544,Rango 2
41805853,Rango 3
80443042,Rango 4
51617944,Rango 0
96944825,Rango 1
54603680,Rango 2
89541578,Rango 3
20898617,Rango 4
66724011,Rango 0
45011018,Rango 1
55821509,Rango 2
50402186,Rango 3
53098173,Rango 4
77213668,Rango 0
78328278,Rango 1
27496790,Rango 2
29068365,Rango 3
63777705,Rango 4
12944409,Rango 0
94841569,Rango 1
99476280,Rango 2
45555082,Rango 3
13274331,Rango 4
93597148,Rango 0
35334095,Rango 1
71426037,Rango 2
28548572,Rango 3
77699674,Rango 4
65069632,Rango 0
77674848,Rango 1
12133461,Rango 2
58248157,Rango 3
62035231,Rango 4
56471110,Rango 0
34141476,Rango 1
71977389,Rango 2
81661701,Rango 3
48296057,Rango 4
26630582,Rango 0
93818047,Rango 1
30116143,Rango 2
37236466,Rango 3
79474599,Rango 4
57426997,Rango 0
80904470,Rango 1
19673063,Rango 2
79027009,Rango 3
40460625,Rango 4
37854515,Rango 0
14707894,Rango 1
93693286,Rango 2
75036356,Rango 3
60783101,Rango 4
35790675,Rango 0
71976660,Rango 1
13676077,Rango 2
45091631,Rango 3
12553069,Rango 4
65724113,Rango 0
55153063,Rango 1
32322646,Rango 2
93760856,Rango 3
83493821,Rango 4
90156731,Rango 0
71077327,Rango 1
41257453,Rango 2
48865867,Rango 3
44417668,Rango 4
46419583,Rango 0
10537152,Rango 1
71292429,Rango 2
76376181,Rango 3
44166767,Rango 4
10700134,Rango 0
64198666,Rango 1
11442945,Rango 2
68876932,Rango 3
85129692,Rango 4
63420066,Rango 0
28431579,Rango 1
37777869,Rango 2
31619557,Rango 3
99801717,Rango 4
48676462,Rango 0
51655277,Rango 1
86647010,Rango 2
93707341,Rango 3
45778143,Rango 4
55536587,Rango 0
73574388,Rango 1
70837765,Rango 2
12046059,Rango 3
84255504,Rango 4
83964466,Rango 0
86599358,Rango 1
40873519,Rango 2
21710045,Rango 3
14319941,Rango 4
16683638,Rango 0
48718503,Rango 1
80010852,Rango 2
59219893,Rango 3
98052788,Rango 4
80111354,Rango 0
28791689,Rango 1
59944890,Rango 2
22155762,Rango 3
14749867,Rango 4
67643587,Rango 0
88649514,Rango 1
86055189,Rango 2
94721276,Rango 3
38464939,Rango 4
78964034,Rango 0
46754474,Rango 1
84052569,Rango 2
64889855,Rango 3
21757800,Rango 4
84398390,Rango 0
20712037,Rango 1
92420569,Rango 2
57183911,Rango 3
68020338,Rango 4
76829511,Rango 0
24518448,Rango 1
90961516,Rango 2
66585052,Rango 3
44776783,Rango 4
42304345,Rango 0
85001138,Rango 1
29532770,Rango 2
29363630,Rango 3
17280253,Rango 4
50474561,Rango 0
21604686,Rango 1
54380213,Rango 2
49800443,Rango 3
91355607,Rango 4
83791383,Rango 0
12689418,Rango 1
49980249,Rango 2
85043455,Rango 3
12628905,Rango 4
66833183,Rango 0
28799307,Rango 1
54092886,Rango 2
26724500,Rango 3
85723316,Rango 4
24021811,Rango 0
76251156,Rango 1
89885679,Rango 2
19479881,Rango 3
63187806,Rango 4
28568378,Rango 0
41515289,Rango 1
28241952,Rango 2
61421665,Rango 3
38417506,Rango 4
91360098,Rango 0
73194219,Rango 1
33688322,Rango 2
33333817,Rango 3
35676262,Rango 4
15891285,Rango 0
98863614,Rango 1
36655941,Rango 2
35048991,Rango 3
81652754,Rango 4
21782579,Rango 0
51971098,Rango 1
29738490,Rango 2
21862824,Rango 3
57107016,Rango 4
15250591,Rango 0
17894749,Rango 1
23689318,Rango 2
80633127,Rango 3
23058135,Rango 4
59561718,Rango 0
54671000,Rango 1
62657187,Rango 2
50567472,Rango 3
39301757,Rango 4
78282835,Rango 0
90311826,Rango 1
26797612,Rango 2
97285842,Rango 3
74473654,Rango 4
76036745,Rango 0
24262010,Rango 1
49097681,Rango 2
94044926,Rango 3
49703512,Rango 4
28492230,Rango 0
28103045,Rango 1
63258287,Rango 2
31637340,Rango 3
73651937,Rango 4
61181378,Rango 0
88881056,Rango 1
64289658,Rango 2
60161878,Rango 3
74084521,Rango 4
25022583,Rango 0
72658788,Rango 1
40300021,Rango 2
65832271,Rango 3
76936823,Rango 4
42784364,Rango 0
26153511,Rango 1
28606778,Rango 2
36738005,Rango 3
49899041,Rango 4
83161754,Rango 0
48968387,Rango 1
16582463,Rango 2
44806084,Rango 3
98942427,Rango 4
13046959,Rango 0
11877759,Rango 1
79313363,Rango 2
96816733,Rango 3
22906473,Rango 4
23524763,Rango 0
48176304,Rango 1
51601845,Rango 2
48641335,Rango 3
71294265,Rango 4
77850428,Rango 0
59812925,Rango 1
30618036,Rango 2
15731247,Rango 3
87070431,Rango 4
70628242,Rango 0
52667703,Rango 1
16712621,Rango 2
66010824,Rango 3
34227824,Rango 4
28496700,Rango 0
25922247,Rango 1
95520905,Rango 2
89740965,Rango 3
46130867,Rango 4
35566216,Rango 0
49130242,Rango 1
47636837,Rango 2
26934221,Rango 3
50130146,Rango 4
74225126,Rango 0
14067753,Rango 1
20713740,Rango 2
90862129,Rango 3
49631515,Rango 4
70061301,Rango 0
21260963,Rango 1
36871266,Rango 2
15576281,Rango 3
25035737,Rango 4
62501378,Rango 0
91593066,Rango 1
38746534,Rango 2
27292813,Rango 3
90852134,Rango 4
59238751,Rango 0
72549216,Rango 1
89337305,Rango 2
69552888,Rango 3
22077097,Rango 4
60965238,Rango 0
23376233,Rango 1
72463562,Rango 2
57992780,Rango 3
78628444,Rango 4
43490367,Rango 0
99195589,Rango 1
40174819,Rango 2
81378218,Rango 3
10176142,Rango 4
64275542,Rango 0
43745882,Rango 1
66738214,Rango 2
20824844,Rango 3
81257388,Rango 4
56059091,Rango 0
36054181,Rango 1
97543710,Rango 2
99536985,Rango 3
44022188,Rango 4
29788561,Rango 0
22823320,Rango 1
19953911,Rango 2
69605695,Rango 3
63707972,Rango 4
58272066,Rango 0
68310364,Rango 1
69252379,Rango 2
97100615,Rango 3
64604296,Rango 4
41165230,Rango 0
14698405,Rango 1
46584445,Rango 2
46924371,Rango 3
37032607,Rango 4
29165050,Rango 0
31780717,Rango 1
94364929,Rango 2
89881570,Rango 3
65491891,Rango 4
33567990,Rango 0
31628941,Rango 1
87981489,Rango 2
81356328,Rango 3
51095080,Rango 4
57330177,Rango 0
77254272,Rango 1
79342082,Rango 2
19490181,Rango 3
62332631,Rango 4
90622838,Rango 0
63392874,Rango 1
19597535,Rango 2
45536618,Rango 3
73148525,Rango 4
21526884,Rango 0
55859014,Rango 1
24314586,Rango 2
89847123,Rango 3
42105526,Rango 4
57401313,Rango 0
30548471,Rango 1
50386700,Rango 2
90249718,Rango 3
45373903,Rango 4
96968634,Rango 0
99842486,Rango 1
77577854,Rango 2
53848566,Rango 3
73928687,Rango 4
97394881,Rango 0
55471091,Rango 1
39733617,Rango 2
41010336,Rango 3
80315737,Rango 4
31389401,Rango 0
92788086,Rango 1
13898373,Rango 2
52106822,Rango 3
93190609,Rango 4
31619087,Rango 0
81433084,Rango 1
66743081,Rango 2
36295578,Rango 3
93018388,Rango 4
23590909,Rango 0
39038235,Rango 1
70292072,Rango 2
86695249,Rango 3
22141861,Rango 4
54104980,Rango 0
66717460,Rango 1
65997522,Rango 2
47789749,Rango 3
38391302,Rango 4
18540202,Rango 0
86265129,Rango 1
33306545,Rango 2
79689311,Rango 3
89072053,Rango 4
15057100,Rango 0
98787857,Rango 1
82348853,Rango 2
48875090,Rango 3
91925482,Rango 4
36380050,Rango 0
93555598,Rango 1
24911374,Rango 2
39001349,Rango 3
53226222,Rango 4
81943681,Rango 0
88052539,Rango 1
94807074,Rango 2
58389563,Rango 3
99120984,Rango 4
29054825,Rango 0
77081926,Rango 1
73589428,Rango 2
73950730,Rango 3
42763724,Rango 4
86139165,Rango 0
67022497,Rango 1
25053340,Rango 2
12773641,Rango 3
57790466,Rango 4
15254536,Rango 0
59638187,Rango 1
35598010,Rango 2
85041040,Rango 3
23858949,Rango 4
47480789,Rango 0
85302376,Rango 1
18651501,Rango 2
97047087,Rango 3
38028715,Rango 4
37245711,Rango 0
50534734,Rango 1
81433592,Rango 2
63492065,Rango 3
59239723,Rango 4
30993970,Rango 0
23061744,Rango 1
65285255,Rango 2
45324347,Rango 3
18650257,Rango 4
95954050,Rango 0
12368186,Rango 1
50137716,Rango 2
74272034,Rango 3
83433580,Rango 4
84493438,Rango 0
22290767,Rango 1
53211044,Rango 2
47046213,Rango 3
90142429,Rango 4
67315617,Rango 0
92227638,Rango 1
65937506,Rango 2
84119221,Rango 3
69857871,Rango 4
72447425,Rango 0
58855614,Rango 1
63762583,Rango 2
56126294,Rango 3
57964118,Rango 4
69622615,Rango 0
60649895,Rango 1
94610162,Rango 2
11480560,Rango 3
51545951,Rango 4
92470795,Rango 0
64190884,Rango 1
48119859,Rango 2
22781380,Rango 3
51783422,Rango 4
15561562,Rango 0
61772787,Rango 1
45333984,Rango 2
58361685,Rango 3
50921144,Rango 4
46293696,Rango 0
16497996,Rango 1
96612640,Rango 2
40085468,Rango 3
77087218,Rango 4
40164314,Rango 0
25623408,Rango 1
12246461,Rango 2
94259709,Rango 3
22179043,Rango 4
89261596,Rango 0
29599300,Rango 1
13014760,Rango 2
97471486,Rango 3
25894762,Rango 4
42187492,Rango 0
91426165,Rango 1
61286148,Rango 2
52476209,Rango 3
89744166,Rango 4
65654100,Rango 0
76907307,Rango 1
35990382,Rango 2
18138683,Rango 3
26899652,Rango 4
40925764,Rango 0
95613683,Rango 1
86108210,Rango 2
47357256,Rango 3
59613884,Rango 4
93803354,Rango 0
69741890,Rango 1
72575178,Rango 2
58360996,Rango 3
92750585,Rango 4
68629700,Rango 0
74500618,Rango 1
65292354,Rango 2
14515305,Rango 3
33074815,Rango 4
32343682,Rango 0
33872592,Rango 1
88859050,Rango 2
48615968,Rango 3
90986768,Rango 4
20809919,Rango 0
82504513,Rango 1
97760396,Rango 2
89349587,Rango 3
49218140,Rango 4
14509420,Rango 0
70154112,Rango 1
50478777,Rango 2
44341081,Rango 3
98235955,Rango 4
45126901,Rango 0
70071903,Rango 1
51677035,Rango 2
48477362,Rango 3
11776410,Rango 4
10335687,Rango 0
45984112,Rango 1
90452246,Rango 2
99353816,Rango 3
49024311,Rango 4
11901973,Rango 0
40830825,Rango 1
96232952,Rango 2
23704484,Rango 3
94048101,Rango 4
79399522,Rango 0
99583799,Rango 1
35837340,Rango 2
19048436,Rango 3
92639565,Rango 4
92058814,Rango 0
38540785,Rango 1
46663147,Rango 2
93217515,Rango 3
85327928,Rango 4
50783930,Rango 0
41645103,Rango 1
31249347,Rango 2
90025333,Rango 3
95845039,Rango 4
86234305,Rango 0
27335920,Rango 1
81257111,Rango 2
76757808,Rango 3
84235315,Rango 4
12437781,Rango 0
63358996,Rango 1
15765006,Rango 2
96435644,Rango 3
38105712,Rango 4
63952862,Rango 0
42157244,Rango 1
15702894,Rango 2
64149561,Rango 3
63469650,Rango 4
45996114,Rango 0
67481209,Rango 1
91625440,Rango 2
55482173,Rango 3
40901261,Rango 4
43090812,Rango 0
92983714,Rango 1
41132125,Rango 2
43708262,Rango 3
38423984,Rango 4
63733622,Rango 0
37164500,Rango 1
52518163,Rango 2
38618943,Rango 3
38298227,Rango 4
83367598,Rango 0
56927111,Rango 1
27130349,Rango 2
53784075,Rango 3
65954506,Rango 4
39721698,Rango 0
33539573,Rango 1
43348586,Rango 2
42860472,Rango 3
89934506,Rango 4
34559783,Rango 0
32526466,Rango 1
90000360,Rango 2
28547400,Rango 3
98640377,Rango 4
43907752,Rango 0
50390596,Rango 1
15363807,Rango 2
53311823,Rango 3
81536481,Rango 4
60080713,Rango 0
29217862,Rango 1
90957308,Rango 2
53480695,Rango 3
66574269,Rango 4
82776787,Rango 0
54963464,Rango 1
29459633,Rango 2
23484345,Rango 3
51177342,Rango 4
58836606,Rango 0
93431523,Rango 1
69472556,Rango 2
18539537,Rango 3
59967622,Rango 4
25241764,Rango 0
88946333,Rango 1
74228764,Rango 2
25888726,Rango 3
36443116,Rango 4
56398607,Rango 0
13441920,Rango 1
15950179,Rango 2
31231258,Rango 3
32388487,Rango 4
80504784,Rango 0
25524081,Rango 1
31419079,Rango 2
37702937,Rango 3
29343088,Rango 4
44547755,Rango 0
65195504,Rango 1
80264761,Rango 2
26680241,Rango 3
73488092,Rango 4
35256996,Rango 0
35438340,Rango 1
50361421,Rango 2
39544554,Rango 3
62403550,Rango 4
78312759,Rango 0
22301341,Rango 1
82840839,Rango 2
35795027,Rango 3
24386843,Rango 4
49091451,Rango 0
81812136,Rango 1
53306588,Rango 2
84933028,Rango 3
47353003,Rango 4
48551081,Rango 0
57536524,Rango 1
95017721,Rango 2
58476048,Rango 3
32109167,Rango 4
68516481,Rango 0
61961697,Rango 1
78715528,Rango 2
18021962,Rango 3
32385327,Rango 4
35050949,Rango 0
59124543,Rango 1
31197406,Rango 2
22056507,Rango 3
83016927,Rango 4
98156812,Rango 0
72676542,Rango 1
89435546,Rango 2
56792382,Rango 3
93867498,Rango 4
23511203,Rango 0
13239507,Rango 1
41469606,Rango 2
94277313,Rango 3
36234557,Rango 4
61803890,Rango 0
23352221,Rango 1
60203674,Rango 2
58398342,Rango 3
35233200,Rango 4
24087561,Rango 0
10848652,Rango 1
70822427,Rango 2
91832197,Rango 3
72934262,Rango 4
78624612,Rango 0
33431664,Rango 1
26082884,Rango 2
60866014,Rango 3
98748218,Rango 4
81353166,Rango 0
63235916,Rango 1
83740050,Rango 2
47433772,Rango 3
23858724,Rango 4
85838035,Rango 0
42535722,Rango 1
60931576,Rango 2
19187271,Rango 3
86853920,Rango 4
77190300,Rango 0
70975872,Rango 1
32365458,Rango 2
53149839,Rango 3
82048045,Rango 4
88974661,Rango 0
27869740,Rango 1
22775495,Rango 2
77286197,Rango 3
32181648,Rango 4
31588952,Rango 0
78156289,Rango 1
43991309,Rango 2
63827546,Rango 3
26994900,Rango 4
64759419,Rango 0
12075330,Rango 1
16408791,Rango 2
66555390,Rango 3
84703575,Rango 4
26724948,Rango 0
75703815,Rango 1
39618684,Rango 2
14454660,Rango 3
13374220,Rango 4
16961781,Rango 0
76147807,Rango 1
35321488,Rango 2
12968931,Rango 3
19050634,Rango 4
81889920,Rango 0
31623442,Rango 1
65778811,Rango 2
68463997,Rango 3
65782320,Rango 4
72302781,Rango 0
30869136,Rango 1
22384842,Rango 2
11959772,Rango 3
90682874,Rango 4
52812120,Rango 0
93063287,Rango 1
30137559,Rango 2
20555164,Rango 3
98275696,Rango 4
27127683,Rango 0
50498554,Rango 1
25426247,Rango 2
78159605,Rango 3
29283101,Rango 4
92220482,Rango 0
30192246,Rango 1
40056402,Rango 2
95999314,Rango 3
75216756,Rango 4
81991654,Rango 0
80827979,Rango 1
75829885,Rango 2
41412612,Rango 3
46879045,Rango 4
43647357,Rango 0
93737289,Rango 1
34441970,Rango 2
62927018,Rango 3
47725861,Rango 4
51971625,Rango 0
88527956,Rango 1
90087104,Rango 2
85290448,Rango 3
62948749,Rango 4
90319559,Rango 0
71601680,Rango 1
26866120,Rango 2
37362956,Rango 3
83430126,Rango 4
18880160,Rango 0
93817238,Rango 1
29932780,Rango 2
99571400,Rango 3
91364969,Rango 4
54775345,Rango 0
13217860,Rango 1
62982484,Rango 2
67298783,Rango 3
92597158,Rango 4
83312350,Rango 0
36017436,Rango 1
97574388,Rango 2
13517784,Rango 3
28715125,Rango 4
33565399,Rango 0
61360425,Rango 1
39302291,Rango 2
34799247,Rango 3
61246961,Rango 4
33684349,Rango 0
60921253,Rango 1
52073651,Rango 2
26949857,Rango 3
89035918,Rango 4
95129946,Rango 0
20787346,Rango 1
67501590,Rango 2
92750233,Rango 3
77544884,Rango 4
88737266,Rango 0
21418725,Rango 1
34798367,Rango 2
17415391,Rango 3
32511731,Rango 4
80503523,Rango 0
31056579,Rango 1
24734436,Rango 2
64440574,Rango 3
11407345,Rango 4
23015452,Rango 0
75729166,Rango 1
25834361,Rango 2
73206871,Rango 3
66680155,Rango 4
57948392,Rango 0
41918367,Rango 1
92937494,Rango 2
59976794,Rango 3
77953349,Rango 4
66374505,Rango 0
50987397,Rango 1
82445221,Rango 2
43131113,Rango 3
12915247,Rango 4
88150128,Rango 0
63003871,Rango 1
48227869,Rango 2
93668330,Rango 3
56629779,Rango 4
15486135,Rango 0
51020432,Rango 1
25280216,Rango 2
11691277,Rango 3
71651631,Rango 4
10730827,Rango 0
74749381,Rango 1
45092886,Rango 2
45124607,Rango 3
73332546,Rango 4
98911862,Rango 0
82260233,Rango 1
45414893,Rango 2
56401286,Rango 3
85263385,Rango 4
95003737,Rango 0
43157280,Rango 1
99715912,Rango 2
11163238,Rango 3
17506650,Rango 4
94322271,Rango 0
17420188,Rango 1
42834701,Rango 2
53670244,Rango 3
39581968,Rango 4
42301165,Rango 0
27705807,Rango 1
23530771,Rango 2
30805866,Rango 3
40153118,Rango 4
26713489,Rango 0
97393320,Rango 1
69238451,Rango 2
68500827,Rango 3
91313777,Rango 4
51398378,Rango 0
70091317,Rango 1
88264530,Rango 2
32463618,Rango 3
13778992,Rango 4
10531757,Rango 0
86267137,Rango 1
14829159,Rango 2
44698959,Rango 3
67467423,Rango 4
70137436,Rango 0
83034219,Rango 1
57412432,Rango 2
63038093,Rango 3
19981392,Rango 4
23150618,Rango 0
89050649,Rango 1
57984719,Rango 2
80293491,Rango 3
38325364,Rango 4
91853776,Rango 0
49993809,Rango 1
16038952,Rango 2
58915772,Rango 3
76779272,Rango 4
70278754,Rango 0
71755547,Rango 1
18007724,Rango 2
27418679,Rango 3
15347453,Rango 4
67205341,Rango 0
71966545,Rango 1
62447917,Rango 2
