dni_persona,num_colegiatura,especializacion
81263584,VET-271409,Medicina General
48087504,VET-282975,Dermatología
31914333,VET-702890,Cardiología
55598483,VET-330708,Cirugía
52359608,VET-421867,Cirugía
42572273,VET-683894,Cirugía
26868915,VET-411936,Dermatología
63235748,VET-413033,Medicina General
45275156,VET-841676,Medicina General
75889802,VET-127875,Dermatología
16335773,VET-807715,Dermatología
99047765,VET-308598,Oncología
78992647,VET-430044,Oncología
14526877,VET-805864,Dermatología
71138234,VET-063278,Dermatología
47930725,VET-327566,Medicina General
41383562,VET-176893,Cardiología
89807896,VET-307516,Cardiología
28357896,VET-540120,Oncología
82412332,VET-404375,Cardiología
33020632,VET-933073,Dermatología
36876491,VET-765523,Oncología
29009522,VET-679472,Oncología
15630460,VET-882161,Oncología
14680834,VET-876626,Oncología
88681581,VET-356852,Cirugía
16135306,VET-542798,Cirugía
75396860,VET-398399,Medicina General
96501020,VET-349234,Dermatología
72744810,VET-967405,Cardiología
79308754,VET-590104,Cirugía
83431583,VET-133373,Oncología
22215543,VET-960355,Cardiología
39675305,VET-521710,Dermatología
63058405,VET-190204,Oncología
20641014,VET-155990,Dermatología
50835291,VET-398214,Cirugía
59119959,VET-218143,Oncología
18077840,VET-270368,Dermatología
65037595,VET-664923,Dermatología
11967752,VET-395818,Oncología
24780883,VET-802171,Dermatología
49251069,VET-058695,Cirugía
50121637,VET-469111,Cirugía
13141313,VET-067327,Oncología
59239277,VET-256614,Cardiología
80403361,VET-001119,Medicina General
19583640,VET-539426,Dermatología
79745590,VET-309053,Dermatología
57155144,VET-444669,Cardiología
11569100,VET-121174,Oncología
52080779,VET-309508,Oncología
40039047,VET-013405,Dermatología
79423525,VET-000931,Cardiología
78628576,VET-686619,Dermatología
14895955,VET-786836,Oncología
56270948,VET-841151,Dermatología
77457776,VET-264917,Oncología
52831040,VET-593177,Cirugía
53354113,VET-996492,Medicina General
99338166,VET-882750,Dermatología
73133477,VET-936945,Oncología
82453546,VET-347719,Dermatología
75734300,VET-280961,Medicina General
36999286,VET-717145,Cardiología
30919241,VET-427004,Oncología
52411045,VET-075996,Dermatología
32959324,VET-935782,Cardiología
56431242,VET-739266,Dermatología
88961307,VET-987741,Cirugía
76719113,VET-305394,Medicina General
15098896,VET-134727,Cirugía
74808404,VET-540974,Oncología
11100635,VET-133981,Oncología
13416076,VET-491770,Oncología
33330725,VET-182244,Cardiología
90298478,VET-469436,Oncología
73192303,VET-543740,Dermatología
52361613,VET-036006,Cardiología
84330775,VET-576428,Dermatología
71486211,VET-963254,Medicina General
68327083,VET-019625,Cardiología
48603585,VET-992809,Cardiología
51352631,VET-459903,Dermatología
91264139,VET-474659,Dermatología
80582470,VET-805889,Dermatología
66025038,VET-165660,Cardiología
58691000,VET-335585,Cirugía
89762528,VET-630083,Cirugía
39506281,VET-041799,Dermatología
31850474,VET-673421,Dermatología
95933961,VET-711856,Cirugía
69292207,VET-332383,Dermatología
77193437,VET-351536,Dermatología
70062875,VET-906903,Cirugía
96432917,VET-977035,Medicina General
16624162,VET-259996,Dermatología
61105237,VET-820540,Dermatología
66080469,VET-461687,Cirugía
43970354,VET-553530,Cardiología
39065884,VET-507268,Medicina General
70231007,VET-756799,Medicina General
90904442,VET-825855,Cirugía
86138309,VET-790256,Cirugía
91969565,VET-272616,Medicina General
39048607,VET-691294,Cardiología
41280415,VET-271402,Cardiología
70907103,VET-640788,Cirugía
71481021,VET-428937,Cardiología
33324807,VET-706919,Oncología
22894300,VET-006000,Cardiología
69119905,VET-997911,Medicina General
55108149,VET-049432,Oncología
56916031,VET-530538,Dermatología
56444546,VET-249549,Medicina General
52697355,VET-832610,Oncología
66692696,VET-179681,Medicina General
69337749,VET-857212,Dermatología
13059248,VET-636203,Oncología
82355397,VET-325446,Cirugía
63727985,VET-522121,Dermatología
21048681,VET-146604,Cardiología
35832981,VET-204782,Oncología
99959242,VET-081435,Cardiología
89604456,VET-092325,Cardiología
89271800,VET-390900,Medicina General
14856177,VET-518640,Oncología
14586890,VET-769347,Cirugía
14774526,VET-149820,Cardiología
52516014,VET-282388,Cardiología
50377810,VET-467506,Dermatología
77924837,VET-200580,Cirugía
93006966,VET-456533,Medicina General
99580604,VET-983872,Cirugía
93384184,VET-334531,Medicina General
29383527,VET-012413,Cirugía
12712676,VET-451190,Dermatología
50647487,VET-203957,Cirugía
70185185,VET-993757,Oncología
58047825,VET-546589,Oncología
39998482,VET-251573,Cirugía
98896647,VET-533102,Dermatología
53257090,VET-751142,Dermatología
35478589,VET-342461,Cardiología
21452421,VET-605559,Cardiología
27344955,VET-496926,Dermatología
89171802,VET-420280,Dermatología
24300112,VET-913600,Oncología
16369193,VET-680954,Cirugía
80432443,VET-752008,Oncología
90462887,VET-356440,Oncología
27865759,VET-134059,Dermatología
73806748,VET-699969,Cirugía
20535475,VET-140477,Oncología
19732953,VET-765098,Cirugía
44449514,VET-034886,Medicina General
49323391,VET-565830,Medicina General
39451665,VET-779223,Medicina General
89590672,VET-937528,Cardiología
58572417,VET-592945,Cardiología
85595720,VET-273590,Medicina General
11101123,VET-713276,Oncología
28692822,VET-223344,Cirugía
20808398,VET-805750,Cardiología
56602884,VET-776915,Dermatología
55295534,VET-997106,Medicina General
25350652,VET-835369,Dermatología
69194907,VET-024753,Medicina General
56906856,VET-628657,Dermatología
91245804,VET-650605,Cirugía
10233655,VET-041417,Dermatología
22075142,VET-749886,Oncología
19080470,VET-167007,Dermatología
81867323,VET-579256,Oncología
43091660,VET-946284,Dermatología
94130084,VET-656370,Medicina General
47415312,VET-863553,Cirugía
55013963,VET-844567,Dermatología
43084770,VET-727001,Medicina General
79572172,VET-580791,Medicina General
25948279,VET-352034,Oncología
18971046,VET-021700,Medicina General
14838066,VET-673507,Oncología
15486278,VET-531880,Cirugía
35771828,VET-694224,Cirugía
29524772,VET-685694,Oncología
68649172,VET-348104,Medicina General
20240167,VET-640217,Oncología
17634663,VET-551895,Medicina General
63978936,VET-165921,Oncología
79013292,VET-530767,Cirugía
79599595,VET-039999,Cardiología
88659314,VET-577688,Oncología
32526674,VET-965410,Oncología
81278535,VET-225064,Medicina General
82976256,VET-779013,Cardiología
68347656,VET-548998,Cirugía
29443432,VET-451945,Cirugía
62199189,VET-640547,Dermatología
64410992,VET-537415,Cardiología
38599470,VET-645540,Cardiología
88609099,VET-297061,Medicina General
94833967,VET-688392,Dermatología
97702641,VET-221293,Dermatología
36017074,VET-462682,Oncología
88018998,VET-100173,Oncología
61501753,VET-052302,Cirugía
92651423,VET-580064,Dermatología
43001315,VET-802001,Medicina General
93840411,VET-676803,Cardiología
89697250,VET-055719,Cardiología
10803984,VET-461125,Cardiología
36175172,VET-120509,Oncología
11139577,VET-530388,Medicina General
73259299,VET-856172,Dermatología
33811744,VET-612950,Oncología
68279051,VET-516484,Oncología
17136843,VET-607860,Cardiología
78150236,VET-039753,Cardiología
68040979,VET-836184,Cardiología
53500859,VET-177249,Cardiología
64467548,VET-966921,Oncología
68789744,VET-673599,Cardiología
59406911,VET-793512,Cirugía
27554887,VET-341850,Dermatología
26569997,VET-416484,Oncología
13824928,VET-883878,Medicina General
67198554,VET-202395,Cardiología
22570804,VET-166833,Oncología
17276756,VET-933716,Medicina General
99646617,VET-139227,Cirugía
48321007,VET-047550,Cirugía
69666824,VET-092479,Dermatología
36943006,VET-721103,Medicina General
77305069,VET-690612,Oncología
60789078,VET-220785,Medicina General
25109014,VET-735371,Cirugía
84024909,VET-549785,Cirugía
82889544,VET-270982,Dermatología
67486412,VET-136235,Dermatología
91841140,VET-224627,Cirugía
87307075,VET-267573,Medicina General
36814483,VET-589226,Cirugía
69708973,VET-202840,Medicina General
41717720,VET-008139,Cirugía
63139869,VET-200474,Cirugía
40451416,VET-386887,Cardiología
84008114,VET-313830,Medicina General
51488631,VET-275996,Dermatología
41005504,VET-036816,Cardiología
93799040,VET-170488,Cardiología
40111756,VET-979100,Cirugía
71707184,VET-998695,Cirugía
23486108,VET-754374,Dermatología
72587290,VET-888982,Medicina General
52298705,VET-916213,Medicina General
72656248,VET-239472,Cirugía
24137720,VET-527380,Cardiología
44400243,VET-107261,Cardiología
34770948,VET-267942,Cirugía
54186145,VET-187636,Cirugía
39835432,VET-669688,Cardiología
48079542,VET-259698,Dermatología
53812137,VET-107245,Medicina General
91763470,VET-562999,Medicina General
80441541,VET-499106,Oncología
44058786,VET-183596,Dermatología
39042192,VET-215980,Cardiología
32440304,VET-350378,Cirugía
88911779,VET-463051,Dermatología
71237451,VET-579674,Medicina General
80143048,VET-895872,Cirugía
11309213,VET-569612,Oncología
42427391,VET-983098,Cirugía
28245449,VET-478522,Medicina General
12466985,VET-926377,Oncología
38435715,VET-068740,Oncología
57493703,VET-519766,Cirugía
16459459,VET-649548,Dermatología
36799457,VET-651578,Cardiología
62088830,VET-708993,Oncología
61527429,VET-763292,Cardiología
92055100,VET-306583,Cirugía
75529734,VET-693291,Cirugía
12495292,VET-186212,Medicina General
46766247,VET-369478,Cardiología
15948358,VET-599325,Medicina General
80587557,VET-234733,Cardiología
46176083,VET-329240,Dermatología
40673395,VET-947591,Oncología
30388479,VET-203943,Medicina General
55288849,VET-742903,Cardiología
49036982,VET-308348,Dermatología
38550506,VET-335462,Cardiología
62600426,VET-466030,Oncología
77678552,VET-931414,Oncología
95184806,VET-883263,Cirugía
78237009,VET-619804,Dermatología
49776570,VET-179101,Cardiología
46111520,VET-912313,Medicina General
52372447,VET-658052,Dermatología
15397265,VET-275677,Cardiología
84001696,VET-310203,Cardiología
54594809,VET-162733,Cardiología
54799953,VET-526703,Oncología
21536527,VET-111940,Oncología
98197288,VET-452604,Cirugía
43108500,VET-779502,Dermatología
21808769,VET-887523,Cirugía
78799821,VET-003390,Cardiología
24705252,VET-001286,Cardiología
47087110,VET-416689,Cirugía
57152219,VET-660553,Dermatología
36786109,VET-442178,Cardiología
20571367,VET-810462,Oncología
39390609,VET-605394,Oncología
42135571,VET-874550,Cardiología
70224806,VET-620242,Dermatología
49652924,VET-072932,Medicina General
91747496,VET-546736,Cardiología
70644655,VET-637404,Cardiología
13724452,VET-041259,Cardiología
21368438,VET-955504,Cardiología
70113955,VET-801958,Oncología
29674239,VET-671774,Cardiología
46215495,VET-008248,Medicina General
82052771,VET-310131,Medicina General
65454771,VET-390627,Cardiología
20629195,VET-756401,Medicina General
67240676,VET-565129,Cardiología
20611288,VET-781076,Dermatología
38738124,VET-973446,Cirugía
74805089,VET-981082,Cardiología
74120486,VET-816799,Oncología
45638462,VET-602770,Cardiología
66997626,VET-515102,Medicina General
70019628,VET-034492,Cirugía
25718767,VET-778941,Medicina General
87171540,VET-165623,Cardiología
12165322,VET-393492,Dermatología
25543274,VET-283052,Medicina General
37192679,VET-165071,Oncología
22465256,VET-801443,Cardiología
51213678,VET-322373,Dermatología
37472116,VET-099716,Dermatología
23667680,VET-916742,Dermatología
28031289,VET-943105,Cardiología
78565183,VET-518538,Oncología
19953947,VET-504818,Oncología
96756968,VET-258640,Cirugía
75658395,VET-842142,Dermatología
41527694,VET-415100,Cardiología
25103162,VET-078599,Cirugía
30086681,VET-148420,Dermatología
56344851,VET-012847,Dermatología
83060997,VET-476397,Oncología
73663789,VET-246665,Cardiología
39890410,VET-672157,Oncología
30648288,VET-299115,Medicina General
73460207,VET-734001,Cirugía
27104045,VET-680478,Cirugía
59160768,VET-107982,Dermatología
77568777,VET-298206,Cardiología
73414605,VET-789766,Medicina General
46438524,VET-370147,Cardiología
50103342,VET-535238,Medicina General
15396168,VET-726428,Oncología
49557797,VET-523022,Dermatología
70515393,VET-734621,Cardiología
70777376,VET-540511,Dermatología
62084842,VET-376087,Oncología
49520571,VET-426209,Cirugía
24060274,VET-009573,Cardiología
32802652,VET-836461,Medicina General
87800438,VET-742478,Dermatología
84313968,VET-007813,Dermatología
40993750,VET-671615,Cirugía
74256004,VET-171915,Cardiología
44571554,VET-078944,Oncología
21335920,VET-281630,Cirugía
98923415,VET-249384,Medicina General
23387802,VET-560358,Oncología
76560545,VET-561367,Cirugía
71393052,VET-016932,Medicina General
86738961,VET-818622,Oncología
46006174,VET-331798,Cardiología
94154934,VET-034431,Dermatología
15151849,VET-427465,Dermatología
94601153,VET-909195,Cardiología
28665255,VET-678046,Cirugía
94400406,VET-469398,Oncología
32675250,VET-778068,Cardiología
28309891,VET-660155,Cardiología
84234860,VET-294701,Dermatología
97783593,VET-647355,Cirugía
23383105,VET-424882,Cardiología
14996978,VET-691480,Medicina General
56161822,VET-198325,Medicina General
23204015,VET-505160,Cirugía
87401986,VET-977736,Cardiología
42468859,VET-157460,Oncología
84839791,VET-818883,Medicina General
46142723,VET-173017,Medicina General
24562216,VET-740838,Oncología
12160994,VET-731357,Dermatología
93417498,VET-571532,Cardiología
84112282,VET-968259,Dermatología
33214722,VET-526153,Cardiología
95087234,VET-074583,Cirugía
30847190,VET-668680,Oncología
19676108,VET-914306,Cardiología
24676141,VET-500700,Dermatología
63740084,VET-591399,Medicina General
34004391,VET-824416,Oncología
89162227,VET-673278,Oncología
37244201,VET-642464,Oncología
14274881,VET-938985,Dermatología
36281099,VET-678683,Cirugía
93298318,VET-781612,Cirugía
17784684,VET-063626,Medicina General
41390584,VET-821171,Medicina General
58922906,VET-160980,Oncología
41621016,VET-138519,Cirugía
84480415,VET-957156,Dermatología
89501694,VET-036230,Oncología
21575136,VET-052839,Dermatología
27669566,VET-578201,Medicina General
97028282,VET-078321,Dermatología
30973803,VET-552743,Medicina General
11181121,VET-019823,Oncología
80704385,VET-086880,Dermatología
97026057,VET-234854,Medicina General
59576771,VET-289761,Dermatología
96217920,VET-355849,Medicina General
65848020,VET-598766,Dermatología
37406593,VET-181663,Cirugía
65303593,VET-483611,Dermatología
38678924,VET-071050,Medicina General
59156465,VET-851302,Oncología
23339443,VET-672407,Cardiología
30728066,VET-593798,Cardiología
41256370,VET-297188,Medicina General
52042508,VET-373812,Cirugía
88621281,VET-890719,Dermatología
34247775,VET-249040,Dermatología
98342637,VET-537077,Cardiología
44362724,VET-202418,Medicina General
44917472,VET-476391,Cirugía
94064798,VET-511998,Cirugía
56127998,VET-516252,Dermatología
62017237,VET-409527,Cardiología
15176501,VET-425771,Medicina General
11386605,VET-337016,Medicina General
10696922,VET-022092,Cardiología
71908209,VET-986948,Cirugía
45856171,VET-551640,Oncología
31399444,VET-956241,Cardiología
27792892,VET-860599,Cirugía
34235956,VET-562573,Cirugía
18830156,VET-432410,Oncología
78948149,VET-494089,Cardiología
86263914,VET-386012,Cardiología
90206184,VET-407805,Cirugía
29012185,VET-185700,Cirugía
55114059,VET-374424,Cirugía
83510981,VET-234241,Medicina General
34039342,VET-166529,Dermatología
56982544,VET-396420,Medicina General
33953328,VET-723110,Dermatología
64412729,VET-282287,Oncología
68578526,VET-690351,Medicina General
17269572,VET-124436,Cardiología
78455046,VET-792028,Cardiología
11245868,VET-480230,Oncología
45665731,VET-591099,Dermatología
81481624,VET-439636,Oncología
52795376,VET-341871,Dermatología
86480975,VET-718913,Medicina General
84878522,VET-569331,Cirugía
26614850,VET-699573,Oncología
32453272,VET-080573,Medicina General
87090452,VET-690724,Oncología
34791734,VET-935111,Medicina General
75088055,VET-601513,Dermatología
18124731,VET-563954,Oncología
72470006,VET-339562,Oncología
38085839,VET-573300,Dermatología
91853405,VET-528063,Cardiología
36776845,VET-895429,Medicina General
68443783,VET-889093,Oncología
50587032,VET-505562,Cardiología
55423959,VET-025535,Oncología
54429883,VET-051585,Oncología
28291505,VET-258385,Oncología
33944228,VET-127571,Cirugía
27503638,VET-744047,Medicina General
64666929,VET-882908,Medicina General
90929300,VET-533755,Cardiología
38974776,VET-921859,Dermatología
50841975,VET-832535,Cardiología
85246291,VET-518070,Cardiología
85219394,VET-722422,Dermatología
48670621,VET-122958,Cirugía
92722292,VET-350910,Dermatología
31628465,VET-330991,Cardiología
22065731,VET-870732,Cardiología
99845492,VET-365302,Cardiología
65845223,VET-249128,Cardiología
79131620,VET-709200,Oncología
47618284,VET-664699,Cirugía
30215849,VET-067122,Dermatología
39235039,VET-986879,Dermatología
22697321,VET-747413,Medicina General
21260434,VET-952968,Medicina General
64406843,VET-745135,Cirugía
39580619,VET-047293,Oncología
32826352,VET-306617,Cirugía
26408337,VET-660076,Oncología
21485249,VET-287859,Oncología
88798694,VET-299955,Oncología
55911461,VET-616994,Medicina General
90775954,VET-775902,Dermatología
92497890,VET-258353,Dermatología
65178509,VET-348922,Medicina General
28863434,VET-142250,Oncología
12032190,VET-338885,Dermatología
87540735,VET-237546,Medicina General
57947953,VET-613077,Cirugía
71442252,VET-878258,Medicina General
75467075,VET-869615,Cardiología
38950034,VET-039833,Cardiología
75409711,VET-653155,Cardiología
51599928,VET-785802,Cirugía
80723619,VET-890052,Cirugía
43525102,VET-908934,Dermatología
80834298,VET-859675,Oncología
16150584,VET-309928,Dermatología
97672855,VET-693328,Cardiología
75498579,VET-180928,Cirugía
44650193,VET-472836,Cirugía
99178709,VET-764642,Cirugía
25991324,VET-953348,Medicina General
79663861,VET-253688,Medicina General
46059749,VET-692477,Medicina General
36633310,VET-174301,Cirugía
76082197,VET-504985,Cirugía
64579457,VET-661138,Oncología
35445148,VET-597544,Medicina General
99749173,VET-744020,Oncología
61091498,VET-954439,Medicina General
87100577,VET-648854,Dermatología
92477217,VET-749568,Dermatología
79969130,VET-952522,Oncología
82253315,VET-962708,Oncología
34784522,VET-450581,Medicina General
59579403,VET-567295,Oncología
73936122,VET-065875,Oncología
55247128,VET-098795,Dermatología
45805419,VET-467642,Cirugía
27929025,VET-368823,Dermatología
22277863,VET-885627,Cirugía
68836180,VET-836786,Cardiología
88513919,VET-472651,Medicina General
95031379,VET-555396,Cirugía
12632558,VET-299724,Cirugía
79758232,VET-590983,Cardiología
16586601,VET-001219,Cardiología
98503639,VET-415156,Cirugía
31158944,VET-519924,Medicina General
21597956,VET-330103,Oncología
43036336,VET-028706,Cirugía
34057079,VET-712033,Oncología
93253153,VET-423532,Dermatología
88828866,VET-473370,Cirugía
43148934,VET-699038,Medicina General
58845575,VET-715062,Dermatología
22732279,VET-640927,Oncología
66445034,VET-590828,Cirugía
78733854,VET-729228,Oncología
52681362,VET-711660,Medicina General
84601118,VET-253319,Cardiología
13834620,VET-410844,Cirugía
19481578,VET-150709,Oncología
71763079,VET-326809,Medicina General
36429193,VET-992097,Cirugía
35216659,VET-549276,Medicina General
78445405,VET-609277,Medicina General
97453140,VET-717257,Medicina General
80592183,VET-590980,Medicina General
55431671,VET-930925,Cirugía
99029788,VET-107125,Dermatología
72595643,VET-168668,Oncología
85764581,VET-729917,Medicina General
36554307,VET-819061,Cardiología
87918897,VET-477654,Dermatología
87118989,VET-371239,Oncología
40272987,VET-991067,Oncología
94406674,VET-438779,Dermatología
74525866,VET-041378,Cirugía
60365789,VET-232148,Dermatología
61759920,VET-150169,Oncología
35366144,VET-058497,Dermatología
58732144,VET-584125,Cardiología
99220440,VET-493971,Dermatología
37450487,VET-737660,Dermatología
57801277,VET-831712,Cirugía
76735007,VET-071561,Cirugía
36551291,VET-868347,Cardiología
65784353,VET-957423,Cirugía
16287088,VET-536183,Cirugía
91272751,VET-938533,Oncología
48347364,VET-735872,Dermatología
75285319,VET-979938,Medicina General
32558200,VET-863011,Cardiología
97393886,VET-120976,Medicina General
57148682,VET-304394,Cirugía
19271460,VET-490476,Cirugía
64370142,VET-018212,Medicina General
52654873,VET-053506,Dermatología
10065541,VET-706196,Cirugía
98269729,VET-912835,Dermatología
75735623,VET-330020,Dermatología
51726110,VET-257703,Oncología
11459282,VET-161699,Medicina General
30737539,VET-351422,Cardiología
17429405,VET-426679,Oncología
27411666,VET-580182,Dermatología
30174354,VET-470019,Medicina General
70601650,VET-675876,Dermatología
71761682,VET-115448,Cirugía
34415167,VET-540332,Medicina General
59689372,VET-838184,Cardiología
28494427,VET-770381,Medicina General
20610955,VET-419366,Dermatología
85699614,VET-480910,Oncología
97379939,VET-363398,Oncología
26830141,VET-426829,Dermatología
54742116,VET-775414,Dermatología
82062866,VET-986763,Dermatología
61788736,VET-717282,Cardiología
66812979,VET-957495,Medicina General
39812183,VET-403977,Cirugía
75570408,VET-309816,Medicina General
35846695,VET-511441,Medicina General
65891546,VET-406350,Dermatología
51262623,VET-406101,Oncología
83715654,VET-979080,Medicina General
16618692,VET-140821,Cirugía
81252836,VET-883241,Dermatología
22433372,VET-316756,Cirugía
72241380,VET-490722,Oncología
44590962,VET-103595,Oncología
16285610,VET-931803,Dermatología
71816890,VET-614976,Cardiología
49639060,VET-822547,Cardiología
65941166,VET-355878,Cardiología
65741210,VET-731758,Medicina General
70938368,VET-060340,Medicina General
29468608,VET-793850,Medicina General
23439859,VET-218108,Cardiología
93309432,VET-625963,Cirugía
20864186,VET-789289,Cardiología
34372821,VET-831171,Cirugía
15837631,VET-742121,Dermatología
27332736,VET-518963,Medicina General
17118744,VET-225074,Oncología
82681112,VET-345790,Oncología
53484355,VET-666616,Medicina General
75447808,VET-133169,Cirugía
51369695,VET-771546,Oncología
25934258,VET-558907,Cardiología
33848749,VET-384233,Medicina General
72026615,VET-360476,Dermatología
56095116,VET-498250,Cardiología
48506955,VET-830096,Oncología
81938265,VET-221719,Cardiología
40127500,VET-783065,Oncología
32183383,VET-024783,Cirugía
22827145,VET-305052,Cirugía
73303742,VET-647981,Cirugía
48889981,VET-358952,Oncología
14326179,VET-963976,Cirugía
47100935,VET-790904,Cardiología
11210482,VET-915673,Medicina General
47197934,VET-005250,Medicina General
60250295,VET-300871,Cirugía
66692920,VET-350598,Medicina General
21284384,VET-118126,Cirugía
44444034,VET-986007,Oncología
86707771,VET-130500,Dermatología
17639722,VET-696033,Dermatología
55220061,VET-069480,Dermatología
34292150,VET-405734,Dermatología
84584089,VET-122256,Cirugía
57669016,VET-500503,Oncología
92047572,VET-646539,Cirugía
71882766,VET-580061,Cirugía
72763386,VET-089474,Medicina General
70086639,VET-755991,Oncología
68632412,VET-810546,Cirugía
47719075,VET-819202,Dermatología
77667780,VET-720651,Cardiología
42048698,VET-339642,Cirugía
28772024,VET-468594,Medicina General
59230109,VET-022493,Cardiología
60443818,VET-652319,Cardiología
98462668,VET-956244,Cirugía
38818449,VET-141655,Cirugía
87384635,VET-180930,Oncología
44127544,VET-715479,Dermatología
32759417,VET-923994,Oncología
97204154,VET-546393,Cirugía
90657272,VET-414553,Cardiología
62229389,VET-856864,Cardiología
84206490,VET-444430,Oncología
58376486,VET-272367,Cardiología
19284051,VET-404058,Medicina General
62543667,VET-591491,Cirugía
65703219,VET-581860,Oncología
48058290,VET-205491,Cardiología
13919389,VET-399021,Cirugía
75963177,VET-296565,Dermatología
49082686,VET-554136,Medicina General
97372334,VET-553993,Oncología
38779714,VET-936330,Dermatología
66854356,VET-072308,Oncología
56065900,VET-178820,Cirugía
52191064,VET-639679,Medicina General
11642645,VET-805117,Oncología
53741401,VET-064809,Medicina General
43965485,VET-512734,Medicina General
33875461,VET-817005,Dermatología
48116239,VET-646309,Cardiología
59356014,VET-664071,Medicina General
31170236,VET-039957,Oncología
21049105,VET-338402,Cirugía
98810469,VET-930683,Oncología
69923169,VET-400740,Dermatología
16281915,VET-253587,Cardiología
22130102,VET-682966,Cirugía
71772533,VET-520139,Medicina General
10300131,VET-568080,Dermatología
59399326,VET-042620,Cirugía
77633173,VET-088165,Medicina General
32415131,VET-135512,Oncología
72567671,VET-481472,Oncología
18802111,VET-203344,Cirugía
14629789,VET-400672,Dermatología
15804139,VET-480323,Medicina General
60973338,VET-388790,Cirugía
97654382,VET-648427,Oncología
34767253,VET-925598,Cardiología
74157453,VET-901065,Dermatología
41188564,VET-086623,Medicina General
17232059,VET-138930,Medicina General
90527891,VET-484448,Dermatología
30860396,VET-353298,Oncología
23651130,VET-321817,Cardiología
16897229,VET-462341,Cirugía
10440366,VET-499042,Oncología
38952369,VET-442889,Dermatología
15759382,VET-848675,Medicina General
85487444,VET-022353,Cardiología
49444990,VET-249793,Dermatología
48940052,VET-629030,Oncología
74133280,VET-848271,Dermatología
14339642,VET-730434,Dermatología
13664198,VET-667645,Cirugía
19749168,VET-335930,Cardiología
99207594,VET-939880,Medicina General
65426551,VET-197642,Oncología
37208842,VET-726500,Dermatología
