id,dni_veterinario,hora,fecha,id_mascota,dni_recepcionista,estado,precio,motivo
75,95305806,11:15:00,2025-06-14,75,98770259,Realizada,43.86,Maiores aliquid assumenda alias maxime eius.
76,10713623,13:45:00,2025-04-19,76,65735412,Realizada,173.52,Nesciunt distinctio dolore.
77,25488514,12:15:00,2025-05-24,77,65707817,Realizada,225.35,Possimus nemo amet ea ab.
78,90184128,08:15:00,2025-03-01,78,28628750,Realizada,147.25,Voluptatibus sint ipsa laborum.
79,36083399,11:00:00,2025-03-07,79,36846821,Realizada,174.77,Saepe quo enim.
80,69574744,13:15:00,2025-03-08,80,83188156,Realizada,223.4,Magni explicabo facilis iure.
81,14755688,16:45:00,2025-04-04,81,17354399,Realizada,134.8,Sint quis nemo.
82,91178507,15:45:00,2025-03-21,82,24406419,Pendiente,121.22,Voluptatum quibusdam libero.
83,90944901,09:00:00,2025-05-23,83,74865319,Cancelada,80.24,Placeat voluptatum ab.
84,67350063,11:45:00,2025-05-07,84,79411775,Realizada,43.06,Optio quidem placeat debitis.
85,19749919,13:00:00,2025-02-05,85,96327996,Realizada,185.71,Laudantium neque sunt et.
86,65800213,10:45:00,2025-05-16,86,12619368,Realizada,103.26,Deserunt vero quidem.
87,82641774,11:30:00,2025-03-04,87,92004349,Realizada,162.97,Porro maiores labore placeat asperiores.
88,89949299,13:15:00,2025-06-13,88,38963092,Cancelada,218.07,Doloribus quae consequuntur.
89,82042493,14:30:00,2025-03-28,89,24309235,Realizada,218.4,Illo assumenda similique.
90,93139138,17:00:00,2025-05-08,90,95507450,Realizada,166.43,Natus quos exercitationem.
91,82641774,14:00:00,2025-03-17,91,49887786,Realizada,133.22,Provident beatae hic recusandae unde temporibus.
92,13644109,08:30:00,2025-03-28,92,54521429,Realizada,263.7,Sint iste architecto asperiores suscipit.
93,18866409,14:45:00,2025-01-11,93,48915444,Cancelada,173.58,Illum natus at minima repudiandae.
94,33162566,13:45:00,2025-06-04,94,26873343,Realizada,209.56,Exercitationem commodi modi.
95,91781691,12:00:00,2025-05-31,95,81869998,Realizada,160.96,Quam modi non explicabo quis.
96,46019589,09:30:00,2025-04-28,96,93541527,Realizada,35.87,In provident eius totam ab.
97,40560732,13:45:00,2025-03-29,97,84864432,Realizada,216.56,Commodi quia est sed possimus.
98,82409167,14:45:00,2025-02-10,98,61924108,Cancelada,189.06,Voluptates recusandae aliquid dicta sapiente.
99,27822023,13:00:00,2025-04-06,99,66474945,Realizada,207.47,Autem tempora veniam sit.
100,17817285,11:45:00,2025-06-09,100,42186939,Realizada,85.42,Error velit aperiam nisi.
101,98102773,15:15:00,2025-05-04,101,56332020,Pendiente,58.56,Esse repellat aspernatur.
102,81029483,09:00:00,2025-05-17,102,84864432,Realizada,47.79,Sunt dolor sapiente.
103,47637227,12:00:00,2025-04-28,103,24309235,Pendiente,277.79,Quos dignissimos dolorum necessitatibus porro.
104,27454489,16:00:00,2025-04-17,104,17112754,Realizada,93.35,Tempora adipisci ipsam dolorum mollitia.
105,91428617,17:45:00,2025-03-06,105,36157342,Realizada,258.33,Iste quam porro ipsam.
106,46434527,17:45:00,2025-01-06,106,46624435,Realizada,239.36,Quae saepe ipsum suscipit laboriosam.
107,18866409,17:00:00,2025-04-29,107,38117514,Realizada,164.04,Soluta eveniet labore distinctio et libero.
108,22706606,11:15:00,2025-02-02,108,99262436,Realizada,202.26,Reprehenderit nulla cumque sed accusantium.
109,85343992,09:00:00,2025-01-15,109,36846821,Realizada,108.23,Quisquam sed earum occaecati sunt.
110,12585972,15:45:00,2025-06-12,110,41809818,Realizada,181.53,Numquam aut impedit neque.
111,70234264,08:15:00,2025-02-22,111,46405237,Cancelada,191.99,Itaque repellat explicabo tempora.
112,28168834,13:45:00,2025-03-09,112,67919975,Pendiente,87.66,Facilis alias magni deleniti debitis vitae.
113,10713623,08:45:00,2025-04-17,113,63454191,Realizada,204.01,Animi sed molestias error.
114,53671098,15:00:00,2025-02-22,114,45811201,Realizada,128.52,Hic magni error corrupti.
115,11766017,13:15:00,2025-01-10,115,18151457,Realizada,209.47,Libero impedit sed maxime rem tempore.
116,64827097,08:00:00,2025-06-08,116,84808942,Pendiente,116.69,Quisquam libero laboriosam.
117,74569519,12:15:00,2025-03-29,117,51252660,Realizada,76.79,Deserunt est eaque id.
118,69397312,08:45:00,2025-01-06,118,35124719,Pendiente,65.98,Asperiores tempore omnis.
119,70166954,10:00:00,2024-12-30,119,74686216,Pendiente,286.1,Cupiditate nam dolore.
120,41881393,15:45:00,2025-03-12,120,14833808,Realizada,193.61,Nam dicta sequi aspernatur.
121,89880206,16:00:00,2025-05-17,121,31473392,Realizada,46.99,Aliquam odit quidem minus.
122,65793295,16:15:00,2025-04-05,122,58879690,Realizada,165.19,Quos eum ea dolor.
123,50438565,08:15:00,2025-02-20,123,76250134,Realizada,227.51,Necessitatibus distinctio in numquam pariatur vel.
124,14692137,17:00:00,2025-06-16,124,76224474,Pendiente,270.74,Consequatur sapiente amet.
125,46178414,09:45:00,2025-06-17,125,39587354,Pendiente,123.56,Illo delectus quisquam.
126,14987789,14:00:00,2025-01-06,126,63665661,Realizada,180.14,Esse odit quisquam reprehenderit odio.
127,38745131,12:30:00,2025-03-20,127,53840772,Realizada,102.28,Earum deleniti suscipit sed.
128,48403204,17:15:00,2025-05-04,128,31244148,Pendiente,131.16,Quam quia dolorum.
129,69898628,14:30:00,2025-02-12,129,91388042,Realizada,269.95,Nulla iusto occaecati sequi.
130,91781691,12:00:00,2025-04-26,130,85794274,Realizada,90.43,Nam repellat ex amet saepe.
131,33162566,08:15:00,2025-03-07,131,63619855,Realizada,249.5,Corporis accusamus quod.
132,45303057,13:00:00,2025-04-17,132,62158303,Pendiente,40.87,Vitae error sit voluptatem soluta quas delectus.
133,40625087,15:15:00,2025-01-15,133,96465781,Realizada,56.69,Expedita delectus incidunt nemo.
134,46178414,09:00:00,2025-05-28,134,81769153,Pendiente,229.78,Molestiae cum aliquid blanditiis facilis quam.
135,35403558,13:15:00,2025-01-28,135,61920395,Realizada,149.87,Aspernatur temporibus fuga officiis eaque.
136,53223394,11:15:00,2025-05-06,136,53582183,Realizada,161.51,Accusantium eveniet facilis cumque quia nihil.
137,42381903,15:00:00,2025-06-11,137,27162731,Cancelada,209.64,Ut ab magnam exercitationem incidunt nulla.
138,13125585,15:30:00,2025-05-17,138,13178256,Realizada,155.51,Dolore excepturi sed.
139,26442937,13:45:00,2025-06-27,139,33932545,Pendiente,66.09,Iure iste occaecati nulla.
140,94889772,11:30:00,2025-04-23,140,36846821,Realizada,83.84,Iure quaerat quisquam distinctio.
141,21982851,10:15:00,2025-01-22,141,32070103,Realizada,57.09,Exercitationem in rem numquam ex.
142,19980615,15:45:00,2025-04-20,142,75062416,Realizada,267.65,Earum quo explicabo.
143,26340431,11:00:00,2025-06-25,143,30702438,Realizada,185.09,Id tempore voluptatibus optio quasi odio.
144,83871316,16:00:00,2025-06-01,144,81320792,Realizada,203.4,Nobis dolores minus est labore.
145,41007874,11:30:00,2025-02-20,145,63454191,Realizada,149.57,Culpa mollitia veritatis error dolores inventore.
146,45907354,09:15:00,2025-01-14,146,75666124,Pendiente,70.69,Error odio aspernatur.
147,55404394,13:00:00,2025-04-23,147,27865533,Realizada,63.14,Culpa laboriosam quibusdam perferendis aliquam.
148,89890322,15:30:00,2025-06-18,148,67440522,Realizada,280.38,Laboriosam quasi expedita.
149,67350063,17:15:00,2025-05-10,149,45811480,Realizada,178.02,Iste corrupti consequuntur.
150,10975660,16:45:00,2025-02-16,150,95507450,Realizada,207.54,Unde officia itaque asperiores commodi distinctio.
151,61122212,15:30:00,2025-04-11,151,86717653,Realizada,134.23,Inventore dolorum amet saepe.
152,96676581,17:00:00,2025-01-15,152,39587354,Pendiente,186.45,Quod recusandae in.
153,68272657,17:15:00,2025-02-23,153,61252501,Realizada,46.41,Possimus optio laboriosam.
154,39272007,15:30:00,2025-06-09,154,10144423,Realizada,241.37,Dicta ipsa esse.
155,87279004,15:00:00,2025-02-24,155,47123654,Pendiente,278.77,Aut earum voluptatibus id.
156,66365938,13:00:00,2025-02-08,156,17614894,Realizada,91.85,Commodi dignissimos voluptates at cumque.
157,62416874,08:45:00,2025-02-20,157,47937918,Realizada,119.92,Perferendis ipsam voluptatem minima.
158,29242349,14:00:00,2025-03-31,158,32797562,Realizada,285.82,Rem ullam suscipit dignissimos architecto odio.
159,19980615,16:15:00,2025-05-10,159,54521429,Realizada,187.82,Tempore provident commodi sequi.
160,51816797,08:45:00,2025-01-02,160,39524988,Pendiente,128.97,Quas a excepturi blanditiis sit.
161,30362857,13:45:00,2025-03-30,161,47147876,Realizada,268.74,Iure aliquam sapiente iure.
162,82607376,12:00:00,2025-06-22,162,68015159,Realizada,171.31,Nulla harum nihil pariatur.
163,30815260,09:45:00,2025-03-25,163,51252660,Pendiente,116.02,Iste cum maxime facilis natus cumque.
164,89615560,12:45:00,2025-04-10,164,78347148,Realizada,266.4,Fugiat nihil quo recusandae nobis illo.
165,82641774,16:15:00,2025-04-25,165,32070103,Realizada,142.37,Cupiditate necessitatibus impedit impedit in voluptatem.
166,30494512,09:30:00,2025-06-25,166,63619119,Cancelada,89.48,Possimus excepturi atque.
167,46911113,17:00:00,2025-03-24,167,69969106,Realizada,235.41,Vel temporibus ut earum dolorum.
168,16952031,14:30:00,2025-03-17,168,69969106,Realizada,267.49,Deleniti eveniet distinctio voluptates corrupti.
169,78297334,11:30:00,2025-03-29,169,44012556,Cancelada,64.8,Autem repellat eum corrupti consectetur eligendi.
170,75532815,10:15:00,2025-05-09,170,18151457,Realizada,70.87,Neque et soluta labore ipsum.
171,48099027,11:45:00,2025-03-23,171,79355905,Realizada,213.46,Sit ipsam explicabo quasi vel voluptatibus.
172,98429980,16:00:00,2025-02-25,172,78968205,Pendiente,298.42,Id similique libero.
173,78155811,13:15:00,2025-01-28,173,87113335,Realizada,44.19,Commodi maiores perferendis eius.
174,10975660,08:15:00,2025-03-01,174,38963092,Realizada,236.93,Ducimus sunt error est unde.
175,46139446,09:45:00,2025-03-15,175,70622379,Realizada,77.61,Ut vel deserunt doloremque quaerat.
176,51094502,12:45:00,2025-03-18,176,76366875,Realizada,188.25,Tempore debitis amet.
177,81002072,14:00:00,2025-02-22,177,46900946,Realizada,157.21,Quo suscipit culpa quas debitis.
178,69751279,14:00:00,2025-05-19,178,11413976,Pendiente,108.75,Blanditiis quisquam necessitatibus esse.
179,59810253,17:30:00,2025-03-06,179,40755075,Realizada,113.31,Neque nihil consequatur consequatur similique reprehenderit.
180,89949299,15:45:00,2025-06-13,180,40811584,Realizada,168.87,Laudantium quam ea ex.
181,58999174,13:00:00,2025-05-04,181,42929439,Realizada,149.48,Ut quos corrupti cupiditate tempora adipisci.
182,43677268,14:45:00,2025-05-02,182,28006026,Pendiente,297.88,Libero ea in corrupti quas.
183,46695596,08:30:00,2025-06-26,183,41101468,Realizada,186.14,Officia molestias facere repellat.
184,88992163,10:45:00,2025-03-20,184,44012556,Realizada,109.87,Maxime temporibus officiis velit molestias.
185,91428617,13:00:00,2025-06-12,185,91599938,Realizada,141.61,Enim nihil facere esse ducimus.
186,73314452,17:30:00,2025-02-09,186,71215010,Cancelada,277.63,Iusto esse labore.
187,32915569,12:45:00,2025-01-26,187,39567474,Realizada,111.11,Recusandae molestias minus aliquam ullam mollitia.
188,72875995,11:30:00,2025-02-03,188,62158303,Pendiente,63.07,Consequatur suscipit asperiores quisquam.
189,79407836,14:45:00,2025-02-03,189,11778621,Realizada,134.25,Quisquam aperiam maxime eaque.
190,92591665,10:15:00,2025-01-16,190,20461327,Pendiente,184.94,Aut assumenda praesentium architecto excepturi ea.
191,37316999,14:15:00,2025-01-11,191,90394186,Cancelada,144.02,Facilis reiciendis perferendis quisquam nulla facere.
192,91455807,17:15:00,2025-01-01,192,95170508,Realizada,129.23,Aliquid necessitatibus alias at totam.
193,86814375,14:30:00,2025-05-04,193,31473392,Pendiente,150.94,Ut temporibus unde aperiam.
194,35569361,14:30:00,2025-05-02,194,77636464,Realizada,39.95,Itaque fuga veniam delectus.
195,45427789,15:30:00,2025-01-14,195,39915025,Pendiente,77.5,Sapiente reprehenderit delectus dicta est.
196,14532604,12:45:00,2025-01-02,196,35124719,Realizada,167.57,Ex possimus dignissimos.
197,77727900,10:00:00,2025-03-28,197,28331671,Pendiente,34.02,Nihil totam dolor assumenda.
198,30362857,09:00:00,2025-01-10,198,21695089,Realizada,219.79,Nesciunt vitae amet ipsa fugiat.
199,34051379,08:15:00,2025-06-11,199,98770259,Realizada,232.56,Repellat eveniet saepe.
200,25488514,13:15:00,2025-03-04,200,18567066,Pendiente,264.62,Quam ut voluptas.
201,99115010,11:45:00,2025-04-24,201,58879690,Pendiente,96.0,Quasi quasi non illo nulla.
202,83011430,11:45:00,2025-05-31,202,18628662,Realizada,177.74,Amet consectetur eligendi quae ipsa.
203,38745131,17:15:00,2025-02-02,203,74842791,Realizada,88.81,Repudiandae autem commodi nesciunt.
204,70188057,14:00:00,2025-06-20,204,58456885,Cancelada,240.22,Iusto sed harum consequatur numquam repellat.
205,43427807,11:45:00,2025-04-04,205,58596656,Realizada,95.54,Recusandae quaerat excepturi.
206,50052106,14:15:00,2025-02-22,206,61218992,Realizada,275.47,Distinctio voluptatem ratione.
207,54845902,09:15:00,2025-01-30,207,26590341,Realizada,214.97,Laboriosam quae accusamus dolore.
208,26902104,11:00:00,2025-02-26,208,52597734,Realizada,193.62,Minus atque inventore libero dolor.
209,32509361,12:00:00,2025-03-04,209,48103276,Realizada,139.14,Nobis aliquid rem error.
210,84929909,16:15:00,2025-01-13,210,63454191,Cancelada,267.58,Ab aliquam autem similique ab commodi.
211,24045382,09:30:00,2025-03-05,211,63501688,Cancelada,274.0,Officia ad nostrum dicta.
212,54048113,13:30:00,2025-05-09,212,48103276,Realizada,215.62,Nihil sed nisi architecto ipsam fugit.
213,92150061,11:30:00,2025-05-08,213,97366956,Pendiente,208.06,Accusantium fugiat delectus vero.
214,87663888,15:45:00,2025-01-01,214,81039607,Realizada,184.91,Ex dicta doloremque dolorem facere.
215,21728539,08:15:00,2025-04-08,215,84864432,Pendiente,219.56,Aliquid recusandae itaque.
216,98949653,17:00:00,2025-01-31,216,31254730,Realizada,171.5,Ab commodi harum dicta sequi labore.
217,21335597,17:30:00,2025-06-14,217,32797562,Cancelada,82.23,A deleniti quisquam deleniti expedita repellat.
218,58010885,10:15:00,2025-04-15,218,93105250,Realizada,158.2,Illo ducimus nostrum.
219,74185782,17:30:00,2025-04-23,219,86819485,Realizada,293.31,Sapiente voluptas aperiam ad.
220,10469268,15:15:00,2025-06-01,220,28628750,Realizada,282.85,Consectetur nesciunt impedit quis.
221,27679110,09:00:00,2025-04-22,221,35125707,Realizada,257.31,Odio magnam omnis.
222,33004174,09:45:00,2025-06-15,222,37797393,Realizada,297.59,Beatae ab quas recusandae accusantium possimus.
223,32521743,12:30:00,2025-01-22,223,39587354,Realizada,169.05,Iste modi tempore quo nulla quo.
224,63033300,09:15:00,2025-05-11,224,98617114,Realizada,124.08,Enim deleniti esse natus.
225,51661464,08:45:00,2025-04-27,225,39817438,Realizada,157.4,Adipisci facilis totam harum.
226,69114584,10:45:00,2025-04-12,226,57504373,Realizada,183.23,Provident facere soluta rerum unde natus incidunt.
227,99488427,14:45:00,2025-02-01,227,35073478,Realizada,260.88,Rem officiis maiores aliquid.
228,57289679,09:00:00,2025-03-21,228,93520557,Realizada,40.63,Pariatur est modi magni.
229,55971000,15:00:00,2025-06-11,229,92756491,Realizada,84.08,At corporis blanditiis.
230,28852428,17:15:00,2025-01-25,230,53763372,Pendiente,293.21,Unde rem magnam quia.
231,90216224,15:30:00,2025-01-05,231,27435292,Realizada,116.86,Nihil optio possimus deleniti molestiae ab.
232,47779596,09:45:00,2025-03-09,232,19073877,Realizada,63.41,Laudantium accusantium repellendus nihil.
233,24212046,16:00:00,2025-06-09,233,25309045,Pendiente,204.76,Molestiae officia voluptate aliquid praesentium.
234,20146406,13:30:00,2025-04-06,234,68082747,Realizada,137.99,Asperiores eum impedit voluptatibus porro amet.
235,69788926,10:15:00,2025-01-13,235,59846997,Realizada,98.92,Porro asperiores dicta qui minima.
236,51783322,10:30:00,2025-04-04,236,39587354,Cancelada,253.66,Quia aut exercitationem.
237,27822023,11:15:00,2025-03-03,237,58353010,Realizada,53.06,Dolore vel facilis.
238,27020550,09:45:00,2025-05-29,238,77869659,Cancelada,190.55,Ullam rerum debitis voluptatibus voluptatem numquam.
239,46695596,10:15:00,2025-01-08,239,92756491,Realizada,293.25,Dolorum excepturi rerum sint et.
240,24463513,09:00:00,2025-06-11,240,74531058,Realizada,159.49,Aspernatur quam odio nesciunt temporibus.
241,68354322,16:15:00,2025-06-01,241,96465781,Realizada,177.94,Nisi quia neque porro dolorem.
242,38078742,08:30:00,2025-03-13,242,94867489,Realizada,89.88,Nemo amet dolores rem officiis ex.
243,42136929,08:45:00,2025-02-13,243,57504373,Realizada,285.09,Eaque dolore ut.
244,30815260,16:30:00,2025-04-02,244,46089314,Pendiente,200.37,Quaerat aperiam ratione occaecati sit.
245,76470315,16:00:00,2025-05-19,245,45811201,Realizada,244.12,Quis corrupti aut nisi magni.
246,41137495,15:45:00,2025-01-23,246,81388848,Realizada,116.86,Et ex commodi molestiae odio placeat.
247,35892199,11:45:00,2025-02-23,247,21701228,Realizada,153.0,Placeat quas laborum eos dolorum reprehenderit.
248,78262532,09:45:00,2025-04-04,248,46725813,Realizada,63.33,Odit molestias perferendis minus.
249,79934940,09:30:00,2025-05-26,249,62180130,Pendiente,135.32,Quia vel dicta.
250,38702936,13:30:00,2025-01-08,250,15583022,Realizada,180.93,Rerum voluptate aperiam nam.
251,48687499,14:45:00,2025-05-01,251,79355905,Realizada,163.63,Nobis eveniet quisquam eum perspiciatis rem.
252,10799799,16:45:00,2025-02-22,252,47123654,Cancelada,87.97,Culpa ullam dolores molestiae iure.
253,48411372,16:45:00,2025-04-17,253,79166488,Cancelada,147.89,Provident sit nobis rerum similique id.
254,98362564,10:00:00,2025-05-04,254,10448619,Cancelada,123.09,Expedita qui delectus at nobis molestiae.
255,29159112,15:00:00,2025-02-08,255,90021285,Realizada,45.56,At fugiat eveniet.
256,60505329,15:30:00,2025-03-22,256,48892092,Realizada,192.65,Saepe eligendi a dolorum amet.
257,92599909,14:15:00,2025-01-07,257,49100956,Realizada,264.05,In alias temporibus.
258,92521084,15:30:00,2025-03-25,258,76627553,Realizada,56.69,Cum recusandae corrupti.
259,78155811,11:45:00,2025-01-22,259,18523351,Realizada,121.47,Odio cupiditate quasi temporibus veniam laboriosam.
260,18360722,13:45:00,2025-02-18,260,35555980,Realizada,261.91,Atque laborum voluptas quibusdam voluptate consectetur.
261,92152594,16:30:00,2025-01-11,261,96327996,Pendiente,79.87,Voluptatum eaque dolores.
262,40880481,09:00:00,2025-02-18,262,28331671,Pendiente,170.09,Aspernatur distinctio laudantium.
263,94555100,17:45:00,2025-01-08,263,76740364,Realizada,265.93,Iure dolorem eum tenetur.
264,43404868,09:15:00,2025-06-26,264,78565780,Pendiente,232.94,Possimus optio natus.
265,10212025,09:15:00,2025-05-05,265,63619855,Cancelada,209.95,Earum distinctio saepe.
266,34729882,11:00:00,2025-03-26,266,82944488,Realizada,138.06,Sint maiores dolorem numquam dignissimos nobis.
267,54310854,12:30:00,2025-02-02,267,19485489,Realizada,249.19,Deserunt cupiditate nam.
268,72237046,08:45:00,2025-06-07,268,19485489,Realizada,67.8,Odio laboriosam accusamus tenetur totam accusantium.
269,43404868,09:00:00,2025-04-23,269,31254730,Realizada,105.94,Pariatur consequatur rem rerum.
270,57289679,14:30:00,2025-03-10,270,77869659,Realizada,83.34,Porro debitis illum voluptatibus aperiam deserunt.
271,43441627,10:45:00,2025-04-04,271,17112754,Realizada,244.08,Temporibus a culpa id delectus reiciendis.
272,87974525,16:45:00,2025-05-10,272,48915444,Pendiente,145.58,Sed exercitationem quibusdam tenetur architecto.
273,66365938,17:30:00,2025-01-03,273,53582183,Realizada,233.77,Unde facilis nemo.
