dni_persona,fecha_ingreso,inicio_turno,fin_turno,salario
95357386,2024-01-18,08:00:00,17:00:00,2645.22
75595115,2024-01-12,08:00:00,17:00:00,4154.43
93385409,2022-12-13,08:00:00,17:00:00,4844.49
56355002,2020-09-26,08:00:00,17:00:00,4107.66
27703570,2024-05-06,08:00:00,17:00:00,4518.23
54430965,2021-03-27,08:00:00,17:00:00,4319.15
34305289,2022-10-08,08:00:00,17:00:00,4417.1
64690555,2024-03-03,08:00:00,17:00:00,2988.0
74834394,2022-06-01,08:00:00,17:00:00,3159.77
76295675,2022-10-28,08:00:00,17:00:00,2936.94
58981449,2021-07-27,08:00:00,17:00:00,4775.72
72546683,2021-06-09,08:00:00,17:00:00,4444.93
55748283,2022-02-17,08:00:00,17:00:00,4043.05
39487882,2023-01-21,08:00:00,17:00:00,2764.8
22044568,2023-12-07,08:00:00,17:00:00,3787.07
29219804,2020-10-23,08:00:00,17:00:00,3676.69
97687033,2023-06-28,08:00:00,17:00:00,4712.28
64833983,2024-03-01,08:00:00,17:00:00,2894.59
57426648,2020-10-02,08:00:00,17:00:00,3978.19
19280334,2023-08-09,08:00:00,17:00:00,4555.83
53529481,2024-02-01,08:00:00,17:00:00,4199.2
60531924,2022-12-09,08:00:00,17:00:00,3137.6
27561046,2023-12-19,08:00:00,17:00:00,4944.14
60113565,2023-09-21,08:00:00,17:00:00,2610.13
43496230,2021-04-01,08:00:00,17:00:00,3547.16
95575112,2022-02-13,08:00:00,17:00:00,3552.55
79700365,2023-09-29,08:00:00,17:00:00,4707.04
48251892,2021-11-21,08:00:00,17:00:00,4276.82
42881519,2020-09-27,08:00:00,17:00:00,3803.0
67665892,2022-03-27,08:00:00,17:00:00,2806.62
81550829,2022-01-30,08:00:00,17:00:00,2573.6
68333054,2021-12-19,08:00:00,17:00:00,2528.88
83944119,2023-07-29,08:00:00,17:00:00,2741.31
37720792,2022-08-28,08:00:00,17:00:00,4994.59
64735878,2021-11-30,08:00:00,17:00:00,3610.45
45565143,2021-08-10,08:00:00,17:00:00,2808.52
74052381,2023-04-20,08:00:00,17:00:00,4237.22
33472311,2022-02-04,08:00:00,17:00:00,3800.6
69959035,2021-09-27,08:00:00,17:00:00,3540.89
61284804,2023-08-01,08:00:00,17:00:00,3550.71
40483555,2024-01-13,08:00:00,17:00:00,3912.39
60663810,2023-12-29,08:00:00,17:00:00,4630.71
92050216,2021-10-09,08:00:00,17:00:00,4765.14
74845783,2021-02-13,08:00:00,17:00:00,2834.49
42023992,2024-04-30,08:00:00,17:00:00,3331.32
80645867,2022-09-16,08:00:00,17:00:00,3126.13
25536844,2024-06-04,08:00:00,17:00:00,4170.81
49972085,2023-08-22,08:00:00,17:00:00,4980.43
46487705,2021-12-09,08:00:00,17:00:00,4268.84
81001783,2023-09-26,08:00:00,17:00:00,3166.26
59260460,2020-12-10,08:00:00,17:00:00,4510.28
26765730,2020-09-29,08:00:00,17:00:00,4278.81
17061113,2024-02-25,08:00:00,17:00:00,4272.38
84095686,2022-05-08,08:00:00,17:00:00,3181.22
41708733,2020-10-05,08:00:00,17:00:00,3345.88
27926480,2024-02-29,08:00:00,17:00:00,2786.84
78249006,2020-12-30,08:00:00,17:00:00,3745.91
22019123,2022-03-23,08:00:00,17:00:00,4441.06
17171039,2022-03-04,08:00:00,17:00:00,3310.43
20087633,2023-06-26,08:00:00,17:00:00,4998.1
55213470,2023-11-12,08:00:00,17:00:00,4102.5
85059196,2020-12-20,08:00:00,17:00:00,3418.86
25289714,2021-03-03,08:00:00,17:00:00,2770.78
98391320,2021-12-06,08:00:00,17:00:00,3665.16
85550838,2023-09-24,08:00:00,17:00:00,4821.33
72836970,2022-03-16,08:00:00,17:00:00,3559.27
94986642,2024-05-24,08:00:00,17:00:00,4188.36
89352645,2022-12-27,08:00:00,17:00:00,4378.62
80974491,2023-03-05,08:00:00,17:00:00,4057.49
31892556,2021-03-31,08:00:00,17:00:00,3192.58
68367134,2023-01-25,08:00:00,17:00:00,4365.16
39781020,2021-01-27,08:00:00,17:00:00,3837.29
18034966,2024-06-07,08:00:00,17:00:00,3583.52
53257757,2021-03-15,08:00:00,17:00:00,3399.79
43815248,2023-08-08,08:00:00,17:00:00,5597.92
11749773,2022-09-02,08:00:00,17:00:00,3821.43
50479072,2023-08-18,08:00:00,17:00:00,5755.3
56370000,2022-11-29,08:00:00,17:00:00,3185.01
88283793,2020-07-09,08:00:00,17:00:00,5608.19
25228322,2023-09-14,08:00:00,17:00:00,4651.7
96345532,2022-12-14,08:00:00,17:00:00,4170.11
50231585,2021-09-29,08:00:00,17:00:00,5457.87
32238100,2022-01-04,08:00:00,17:00:00,3967.65
38199332,2023-04-15,08:00:00,17:00:00,3980.55
62127669,2020-10-28,08:00:00,17:00:00,5004.99
85683482,2024-03-27,08:00:00,17:00:00,5313.81
82615775,2021-01-30,08:00:00,17:00:00,4554.4
75281934,2022-11-18,08:00:00,17:00:00,5153.38
87266927,2020-11-16,08:00:00,17:00:00,3024.43
46746848,2022-11-08,08:00:00,17:00:00,5651.02
28451659,2020-11-03,08:00:00,17:00:00,4948.38
76012199,2022-09-24,08:00:00,17:00:00,3546.89
86696217,2023-08-12,08:00:00,17:00:00,5681.52
63948471,2021-09-28,08:00:00,17:00:00,3516.86
69080532,2022-08-07,08:00:00,17:00:00,5280.26
10519785,2021-12-27,08:00:00,17:00:00,4473.71
43416914,2022-07-26,08:00:00,17:00:00,5267.25
71882924,2021-04-08,08:00:00,17:00:00,5414.68
86672784,2024-01-05,08:00:00,17:00:00,5112.41
67356015,2022-02-28,08:00:00,17:00:00,3060.27
88413714,2024-04-19,08:00:00,17:00:00,4436.37
88749544,2022-07-05,08:00:00,17:00:00,3042.86
60378039,2023-12-26,08:00:00,17:00:00,5895.3
21970599,2021-04-01,08:00:00,17:00:00,5873.68
69532407,2021-05-26,08:00:00,17:00:00,3246.74
94840836,2022-02-22,08:00:00,17:00:00,4440.05
72295813,2021-08-04,08:00:00,17:00:00,5397.82
74215830,2022-09-30,08:00:00,17:00:00,4649.16
22863899,2023-02-03,08:00:00,17:00:00,4752.31
58994240,2022-08-10,08:00:00,17:00:00,3487.2
66720764,2022-03-14,08:00:00,17:00:00,3090.32
68472465,2020-11-23,08:00:00,17:00:00,4573.11
65015279,2022-12-03,08:00:00,17:00:00,5275.17
12879242,2022-08-05,08:00:00,17:00:00,4193.56
50176075,2022-09-20,08:00:00,17:00:00,3189.04
43534149,2021-08-23,08:00:00,17:00:00,5489.22
98107439,2023-01-17,08:00:00,17:00:00,3501.16
66800003,2023-08-17,08:00:00,17:00:00,4580.42
77054645,2023-03-08,08:00:00,17:00:00,4262.31
52606371,2020-08-12,08:00:00,17:00:00,5144.24
57936728,2022-03-16,08:00:00,17:00:00,4211.83
80328005,2024-01-23,08:00:00,17:00:00,3757.64
77571738,2023-10-14,08:00:00,17:00:00,3159.51
61700415,2021-01-17,08:00:00,17:00:00,3134.57
