id,dni_persona,nombre,ruc_proveedor,stock,precio
120,18034966,soluta,61919800237,568,36.97
121,60663810,earum,91355908570,838,151.37
122,46487705,iure,25114241034,328,47.24
123,67665892,incidunt,18966429023,858,20.34
124,60663810,praesentium,39237413781,987,184.66
125,98391320,sit,30376953041,470,162.14
126,43496230,vel,28146912101,641,46.27
127,42881519,perferendis,35254496143,363,188.53
128,89352645,a,32442840362,415,119.14
129,64735878,quidem,86210023135,61,169.36
130,31892556,laborum,96675247927,955,142.03
131,81001783,animi,64351279818,819,64.65
132,17061113,sunt,60152683304,161,189.15
133,31892556,debitis,56635106883,836,139.72
134,74052381,deserunt,64351279818,851,188.98
135,79700365,quam,19021388893,730,127.41
136,92050216,ipsum,83436286838,898,184.92
137,22019123,soluta,17320842231,729,134.32
138,60663810,ad,27976165143,748,76.68
139,64735878,dolores,24246461904,231,172.85
140,92050216,unde,32446323575,362,131.99
141,39781020,nostrum,83300115917,326,192.52
142,69959035,veritatis,24246461904,216,54.94
143,37720792,praesentium,86107742182,710,177.78
144,95575112,cum,86210023135,839,192.19
145,67665892,ea,74281122136,75,190.91
146,81550829,quisquam,72686810491,78,69.22
147,55213470,ipsam,73045163521,363,181.11
148,79700365,in,86306407107,539,99.41
149,89352645,nobis,32673428740,369,57.77
150,43496230,ratione,73045163521,952,196.38
151,80974491,dolorem,77859600134,925,24.71
152,95575112,ipsam,55187489548,629,68.55
153,22019123,distinctio,28146912101,41,13.19
154,94986642,quia,75344676744,867,149.86
155,74845783,atque,90974755642,368,165.25
156,33472311,assumenda,83436286838,856,60.81
157,41708733,id,87042525326,219,46.57
158,55213470,soluta,64351279818,272,7.53
159,81001783,eaque,64061995519,467,15.01
160,22019123,quas,42838760444,24,32.42
161,41708733,nisi,72686810491,555,128.98
162,85550838,nihil,62560916815,369,125.12
163,17061113,doloremque,41452088358,683,180.69
164,98391320,deleniti,51272740496,778,51.32
165,89352645,placeat,99369750376,551,119.6
166,43496230,laboriosam,95222350177,710,152.87
167,89352645,id,40958053344,319,177.15
168,61284804,dicta,62278901001,731,143.46
169,81001783,praesentium,86306407107,629,189.23
170,55213470,eligendi,83201756805,193,167.85
171,18034966,quam,17810169894,591,189.03
172,74052381,hic,54208779871,558,42.38
173,74845783,rem,90974755642,853,121.99
174,46487705,dolorum,55187489548,131,95.2
175,94986642,at,32446323575,716,140.22
176,68367134,ipsa,14400248674,305,30.48
177,33472311,nam,61919800237,136,146.31
178,53257757,quaerat,99369750376,388,18.28
179,74052381,hic,27976165143,813,57.77
180,31892556,perspiciatis,86210023135,114,27.0
181,18034966,ratione,19031019716,705,120.49
182,46487705,architecto,90974755642,251,20.72
183,80974491,nam,75759341423,453,199.09
184,94986642,a,41757111383,916,51.17
185,43496230,impedit,26021382433,899,130.0
186,68367134,quod,18698954367,482,143.95
187,89352645,autem,61780476635,195,7.57
188,26765730,accusantium,82852736111,995,68.4
189,85550838,recusandae,34364328935,894,53.7
190,80645867,magni,54559027496,411,98.79
191,74052381,quae,32446323575,804,53.74
192,85550838,tempora,82852736111,262,132.52
193,89352645,alias,83438643228,16,5.17
194,68333054,possimus,26021382433,655,75.82
195,67665892,est,71269205579,32,103.93
196,72836970,accusamus,82852736111,867,119.79
197,81550829,quam,35779283818,233,162.22
198,95575112,facere,90974755642,630,165.63
199,41708733,sit,61919800237,287,147.24
200,68333054,enim,59374582855,200,93.1
